序号,学科门类,门类代码,一级学科名称,学科代码,评估结果,院校名称,学校代码,评估百分位,评估名次,评估档次,全国“博士授权”高校总数,本次参评“博士授权”高校数,本次参评高校总数,双一流学科
500,法学,3,马克思主义理论,305,B,哈尔滨工程大学,10217,20%-30%,前46-69名,5档,93,83,231,
1892,工学,8,力学,801,B,哈尔滨工程大学,10217,20%-30%,前16-24名,5档,53,52,80,
1975,工学,8,机械工程,802,B,哈尔滨工程大学,10217,20%-30%,前37-56名,5档,93,89,189,
2081,工学,8,光学工程,803,B,哈尔滨工程大学,10217,20%-30%,前16-24名,5档,39,36,80,
2143,工学,8,仪器科学与技术,804,B-,哈尔滨工程大学,10217,30%-40%,前21-29名,6档,32,29,73,
2207,工学,8,材料科学与工程,805,B,哈尔滨工程大学,10217,20%-30%,前34-51名,5档,93,89,172,
2318,工学,8,动力工程及工程热物理,807,B+,哈尔滨工程大学,10217,10%-20%,前8-16名,4档,43,42,84,
2418,工学,8,电气工程,808,C-,哈尔滨工程大学,10217,60%-70%,前50-58名,9档,40,39,84,
2491,工学,8,电子科学与技术,809,C-,哈尔滨工程大学,10217,60%-70%,前63-74名,9档,52,49,106,
2514,工学,8,信息与通信工程,810,B+,哈尔滨工程大学,10217,10%-20%,前13-27名,4档,64,61,137,
2601,工学,8,控制科学与工程,811,A-,哈尔滨工程大学,10217,5%-10%,前8-16名,3档,67,64,162,
2737,工学,8,计算机科学与技术,812,B+,哈尔滨工程大学,10217,10%-20%,前23-47名,4档,77,75,238,
2984,工学,8,土木工程,814,C,哈尔滨工程大学,10217,50%-60%,前67-80名,8档,56,54,134,
3114,工学,8,化学工程与技术,817,B-,哈尔滨工程大学,10217,30%-40%,前43-57名,6档,54,51,144,
3281,工学,8,船舶与海洋工程,824,A+,哈尔滨工程大学,10217,前2%,前2名,1档,13,12,18,船舶与海洋工程
3322,工学,8,核科学与技术,827,B+,哈尔滨工程大学,10217,10%-20%,前2-4名,4档,12,11,20,
3524,工学,8,生物医学工程,831,C-,哈尔滨工程大学,10217,60%-70%,前42-49名,9档,35,32,70,
3691,工学,8,软件工程,835,B,哈尔滨工程大学,10217,20%-30%,前33-49名,5档,46,45,165,
4427,管理学,12,管理科学与工程,1201,B+,哈尔滨工程大学,10217,10%-20%,前18-37名,4档,90,85,187,
4639,管理学,12,工商管理,1202,C+,哈尔滨工程大学,10217,40%-50%,前96-120名,7档,65,63,240,
4811,管理学,12,公共管理,1204,C,哈尔滨工程大学,10217,50%-60%,前71-85名,8档,43,27,143,
476,法学,3,马克思主义理论,305,B+,哈尔滨师范大学,10231,10%-20%,前23-46名,4档,93,83,231,
636,教育学,4,教育学,401,B,哈尔滨师范大学,10231,20%-30%,前20-30名,5档,31,30,101,
765,教育学,4,体育学,403,C-,哈尔滨师范大学,10231,60%-70%,前46-54名,9档,21,21,78,
805,文学,5,中国语言文学,501,B,哈尔滨师范大学,10231,20%-30%,前29-44名,5档,65,64,148,
924,文学,5,外国语言文学,502,B-,哈尔滨师范大学,10231,30%-40%,前44-59名,6档,41,38,163,
1156,历史学,6,世界史,603,C,哈尔滨师范大学,10231,50%-60%,前29-34名,8档,31,31,58,
1264,理学,7,数学,701,C,哈尔滨师范大学,10231,50%-60%,前91-109名,8档,76,69,182,
1373,理学,7,物理学,702,C-,哈尔滨师范大学,10231,60%-70%,前76-88名,9档,64,56,127,
1479,理学,7,化学,703,C-,哈尔滨师范大学,10231,60%-70%,前90-105名,9档,69,66,150,
1514,理学,7,地理学,705,B-,哈尔滨师范大学,10231,30%-40%,前18-24名,6档,31,29,60,
1671,理学,7,生物学,710,C,哈尔滨师范大学,10231,50%-60%,前80-96名,8档,91,75,161,
4969,艺术学,13,戏剧与影视学,1303,C+,哈尔滨师范大学,10231,40%-50%,前20-25名,7档,14,13,51,
5003,艺术学,13,美术学,1304,B,哈尔滨师范大学,10231,20%-30%,前18-27名,5档,15,15,93,
523,法学,3,马克思主义理论,305,B-,哈尔滨理工大学,10214,30%-40%,前69-92名,6档,93,83,231,
1263,理学,7,数学,701,C,哈尔滨理工大学,10214,50%-60%,前91-109名,8档,76,69,182,
1974,工学,8,机械工程,802,B,哈尔滨理工大学,10214,20%-30%,前37-56名,5档,93,89,189,
2141,工学,8,仪器科学与技术,804,B-,哈尔滨理工大学,10214,30%-40%,前21-29名,6档,32,29,73,
2243,工学,8,材料科学与工程,805,C+,哈尔滨理工大学,10214,40%-50%,前68-86名,7档,93,89,172,
2385,工学,8,电气工程,808,B,哈尔滨理工大学,10214,20%-30%,前16-25名,5档,40,39,84,
2665,工学,8,控制科学与工程,811,C+,哈尔滨理工大学,10214,40%-50%,前64-81名,7档,67,64,162,
2760,工学,8,计算机科学与技术,812,B,哈尔滨理工大学,10214,20%-30%,前47-71名,5档,77,75,238,
3155,工学,8,化学工程与技术,817,C-,哈尔滨理工大学,10214,60%-70%,前86-100名,9档,54,51,144,
3727,工学,8,软件工程,835,C+,哈尔滨理工大学,10214,40%-50%,前66-82名,7档,46,45,165,
4447,管理学,12,管理科学与工程,1201,B,哈尔滨理工大学,10214,20%-30%,前37-56名,5档,90,85,187,
4593,管理学,12,工商管理,1202,B,哈尔滨理工大学,10214,20%-30%,前48-72名,5档,65,63,240,
4883,艺术学,13,艺术学理论,1301,B-,哈尔滨音乐学院,14560,30%-40%,前15-20名,6档,19,18,50,
4918,艺术学,13,音乐与舞蹈学,1302,B,哈尔滨音乐学院,14560,20%-30%,前13-20名,5档,11,11,69,
1647,理学,7,生物学,710,B-,四川农业大学,10626,30%-40%,前48-64名,6档,91,75,161,
3572,工学,8,食品科学与工程,832,C,四川农业大学,10626,50%-60%,前39-47名,8档,27,26,79,
3631,工学,8,风景园林学,834,B,四川农业大学,10626,20%-30%,前11-16名,5档,20,20,56,
3816,农学,9,作物学,901,B+,四川农业大学,10626,10%-20%,前4-8名,4档,30,30,42,作物学（自定）
3855,农学,9,园艺学,902,C+,四川农业大学,10626,40%-50%,前14-18名,7档,21,21,36,
3873,农学,9,农业资源与环境,903,B,四川农业大学,10626,20%-30%,前6-10名,5档,19,18,34,
3907,农学,9,植物保护,904,C,四川农业大学,10626,50%-60%,前17-21名,8档,24,20,35,
3914,农学,9,畜牧学,905,A-,四川农业大学,10626,5%-10%,前2-4名,3档,30,28,44,
3952,农学,9,兽医学,906,B,四川农业大学,10626,20%-30%,前8-12名,5档,20,20,41,
3976,农学,9,林学,907,B,四川农业大学,10626,20%-30%,前6-9名,5档,18,18,30,
4008,农学,9,草学,909,B,四川农业大学,10626,20%-30%,前5-7名,5档,14,13,26,
4722,管理学,12,农林经济管理,1203,B-,四川农业大学,10626,30%-40%,前11-15名,6档,24,22,39,
904,文学,5,外国语言文学,502,B+,四川外国语大学,10650,10%-20%,前14-29名,4档,41,38,163,
24,哲学,1,哲学,101,B,四川大学,10610,20%-30%,前16-25名,5档,48,38,84,
84,经济学,2,理论经济学,201,B,四川大学,10610,20%-30%,前18-27名,5档,39,38,90,
179,经济学,2,应用经济学,202,B-,四川大学,10610,30%-40%,前46-62名,6档,66,58,155,
255,法学,3,法学,301,B+,四川大学,10610,10%-20%,前14-28名,4档,40,38,144,
359,法学,3,政治学,302,B-,四川大学,10610,30%-40%,前22-30名,6档,30,28,76,
412,法学,3,社会学,303,C+,四川大学,10610,40%-50%,前26-32名,7档,24,24,65,
440,法学,3,民族学,304,C+,四川大学,10610,40%-50%,前12-15名,7档,15,14,31,
469,法学,3,马克思主义理论,305,A-,四川大学,10610,5%-10%,前11-23名,3档,93,83,231,
778,文学,5,中国语言文学,501,A,四川大学,10610,2%-5%,前7名,2档,65,64,148,
902,文学,5,外国语言文学,502,B+,四川大学,10610,10%-20%,前14-29名,4档,41,38,163,
1004,文学,5,新闻传播学,503,B+,四川大学,10610,10%-20%,前8-16名,4档,17,17,81,
1051,历史学,6,考古学,601,B+,四川大学,10610,10%-20%,前3-7名,4档,21,21,36,
1084,历史学,6,中国史,602,B+,四川大学,10610,10%-20%,前8-16名,4档,48,48,82,
1143,历史学,6,世界史,603,B,四川大学,10610,20%-30%,前11-17名,5档,31,31,58,
1184,理学,7,数学,701,A-,四川大学,10610,5%-10%,前9-18名,3档,76,69,182,数学
1329,理学,7,物理学,702,B,四川大学,10610,20%-30%,前25-38名,5档,64,56,127,
1399,理学,7,化学,703,A-,四川大学,10610,5%-10%,前7-15名,3档,69,66,150,化学
1601,理学,7,生物学,710,A-,四川大学,10610,5%-10%,前8-16名,3档,91,75,161,
1704,理学,7,系统科学,711,C,四川大学,10610,50%-60%,前6-7名,8档,7,6,12,
1738,理学,7,生态学,713,B+,四川大学,10610,10%-20%,前10-20名,4档,57,48,100,
1834,理学,7,统计学,714,B-,四川大学,10610,30%-40%,前36-48名,6档,54,51,120,
1905,工学,8,力学,801,B-,四川大学,10610,30%-40%,前24-32名,6档,53,52,80,
1983,工学,8,机械工程,802,B,四川大学,10610,20%-30%,前37-56名,5档,93,89,189,
2085,工学,8,光学工程,803,B,四川大学,10610,20%-30%,前16-24名,5档,39,36,80,
2155,工学,8,仪器科学与技术,804,C+,四川大学,10610,40%-50%,前29-36名,7档,32,29,73,
2186,工学,8,材料科学与工程,805,A-,四川大学,10610,5%-10%,前8-17名,3档,93,89,172,材料科学与工程
2347,工学,8,动力工程及工程热物理,807,C+,四川大学,10610,40%-50%,前33-42名,7档,43,42,84,
2397,工学,8,电气工程,808,B-,四川大学,10610,30%-40%,前25-33名,6档,40,39,84,
2483,工学,8,电子科学与技术,809,C,四川大学,10610,50%-60%,前53-63名,8档,52,49,106,
2537,工学,8,信息与通信工程,810,B,四川大学,10610,20%-30%,前27-41名,5档,64,61,137,
2687,工学,8,控制科学与工程,811,C+,四川大学,10610,40%-50%,前64-81名,7档,67,64,162,
2750,工学,8,计算机科学与技术,812,B+,四川大学,10610,10%-20%,前23-47名,4档,77,75,238,
2948,工学,8,土木工程,814,B,四川大学,10610,20%-30%,前26-40名,5档,56,54,134,
3014,工学,8,水利工程,815,B+,四川大学,10610,10%-20%,前4-9名,4档,24,24,49,
3076,工学,8,化学工程与技术,817,A-,四川大学,10610,5%-10%,前7-14名,3档,54,51,144,
3228,工学,8,纺织科学与工程,821,C-,四川大学,10610,60%-70%,前10-11名,9档,7,7,17,
3235,工学,8,轻工技术与工程,822,B,四川大学,10610,20%-30%,前4-7名,5档,9,9,24,
3326,工学,8,核科学与技术,827,B-,四川大学,10610,30%-40%,前6-8名,6档,12,11,20,
3394,工学,8,环境科学与工程,830,B+,四川大学,10610,10%-20%,前15-31名,4档,60,57,155,
3484,工学,8,生物医学工程,831,A-,四川大学,10610,5%-10%,前3-7名,3档,35,32,70,
3566,工学,8,食品科学与工程,832,C+,四川大学,10610,40%-50%,前31-39名,7档,27,26,79,
3604,工学,8,城乡规划学,833,C+,四川大学,10610,40%-50%,前20-25名,7档,13,13,51,
3650,工学,8,风景园林学,834,C,四川大学,10610,50%-60%,前28-33名,8档,20,20,56,
3671,工学,8,软件工程,835,A-,四川大学,10610,5%-10%,前8-16名,3档,46,45,165,
4034,医学,10,基础医学,1001,B+,四川大学,10610,10%-20%,前7-15名,4档,43,38,78,基础医学
4084,医学,10,临床医学,1002,A-,四川大学,10610,5%-10%,前4-8名,3档,52,48,86,
4136,医学,10,口腔医学,1003,A+,四川大学,10610,前2%,前2名,1档,16,15,39,口腔医学
4178,医学,10,公共卫生与预防医学,1004,B,四川大学,10610,20%-30%,前10-16名,5档,34,32,54,
4233,医学,10,中西医结合,1006,B+,四川大学,10610,10%-20%,前5-10名,4档,32,32,54,
4271,医学,10,药学,1007,A-,四川大学,10610,5%-10%,前5-10名,3档,41,37,104,
4368,医学,10,护理学,1011,A-,四川大学,10610,5%-10%,前2-5名,3档,23,22,59,护理学
4421,管理学,12,管理科学与工程,1201,A-,四川大学,10610,5%-10%,前9-18名,3档,90,85,187,
4560,管理学,12,工商管理,1202,A-,四川大学,10610,5%-10%,前12-24名,3档,65,63,240,
4747,管理学,12,公共管理,1204,A-,四川大学,10610,5%-10%,前7-14名,3档,43,27,143,
4855,管理学,12,图书情报与档案管理,1205,C+,四川大学,10610,40%-50%,前15-19名,7档,11,10,39,
4877,艺术学,13,艺术学理论,1301,B,四川大学,10610,20%-30%,前10-15名,5档,19,18,50,
5000,艺术学,13,美术学,1304,B+,四川大学,10610,10%-20%,前9-18名,4档,15,15,93,
5073,艺术学,13,设计学,1305,B,四川大学,10610,20%-30%,前18-28名,5档,16,16,94,
56,哲学,1,哲学,101,C-,四川师范大学,10636,60%-70%,前50-58名,9档,48,38,84,
112,经济学,2,理论经济学,201,C,四川师范大学,10636,50%-60%,前45-54名,8档,39,38,90,
640,教育学,4,教育学,401,B,四川师范大学,10636,20%-30%,前20-30名,5档,31,30,101,
812,文学,5,中国语言文学,501,B,四川师范大学,10636,20%-30%,前29-44名,5档,65,64,148,
955,文学,5,外国语言文学,502,C+,四川师范大学,10636,40%-50%,前59-74名,7档,41,38,163,
1125,历史学,6,中国史,602,C-,四川师范大学,10636,60%-70%,前49-57名,9档,48,48,82,
1235,理学,7,数学,701,B-,四川师范大学,10636,30%-40%,前54-72名,6档,76,69,182,
1370,理学,7,物理学,702,C,四川师范大学,10636,50%-60%,前63-76名,8档,64,56,127,
1534,理学,7,地理学,705,C-,四川师范大学,10636,60%-70%,前36-42名,9档,31,29,60,
3770,工学,8,软件工程,835,C-,四川师范大学,10636,60%-70%,前99-115名,9档,46,45,165,
4703,管理学,12,工商管理,1202,C-,四川师范大学,10636,60%-70%,前144-168名,9档,65,63,240,
4971,艺术学,13,戏剧与影视学,1303,C+,四川师范大学,10636,40%-50%,前20-25名,7档,14,13,51,
5037,艺术学,13,美术学,1304,C,四川师范大学,10636,50%-60%,前46-55名,8档,15,15,93,
3162,工学,8,化学工程与技术,817,C-,四川理工学院,10622,60%-70%,前86-100名,9档,54,51,144,
4533,管理学,12,管理科学与工程,1201,C-,四川理工学院,10622,60%-70%,前112-130名,9档,90,85,187,
4889,艺术学,13,艺术学理论,1301,C+,四川美术学院,10655,40%-50%,前20-25名,7档,19,18,50,
4975,艺术学,13,戏剧与影视学,1303,C,四川美术学院,10655,50%-60%,前25-30名,8档,14,13,51,
4991,艺术学,13,美术学,1304,A-,四川美术学院,10655,5%-10%,前4-9名,3档,15,15,93,
5064,艺术学,13,设计学,1305,B+,四川美术学院,10655,10%-20%,前9-18名,4档,16,16,94,
4910,艺术学,13,音乐与舞蹈学,1302,B+,四川音乐学院,10654,10%-20%,前6-13名,4档,11,11,69,
972,文学,5,外国语言文学,502,C,国防科技大学,90002,50%-60%,前74-88名,8档,41,38,163,
1204,理学,7,数学,701,B+,国防科技大学,90002,10%-20%,前18-36名,4档,76,69,182,
1320,理学,7,物理学,702,B+,国防科技大学,90002,10%-20%,前12-25名,4档,64,56,127,
1699,理学,7,系统科学,711,A+,国防科技大学,90002,前2%,前2名,1档,7,6,12,
1898,工学,8,力学,801,B,国防科技大学,90002,20%-30%,前16-24名,5档,53,52,80,
1949,工学,8,机械工程,802,A-,国防科技大学,90002,5%-10%,前9-18名,3档,93,89,189,
2066,工学,8,光学工程,803,A,国防科技大学,90002,2%-5%,前4名,2档,39,36,80,
2133,工学,8,仪器科学与技术,804,B+,国防科技大学,90002,10%-20%,前7-14名,4档,32,29,73,
2204,工学,8,材料科学与工程,805,B+,国防科技大学,90002,10%-20%,前17-34名,4档,93,89,172,
2443,工学,8,电子科学与技术,809,B+,国防科技大学,90002,10%-20%,前10-21名,4档,52,49,106,
2503,工学,8,信息与通信工程,810,A,国防科技大学,90002,2%-5%,前6名,2档,64,61,137,信息与通信工程
2600,工学,8,控制科学与工程,811,A,国防科技大学,90002,2%-5%,前8名,2档,67,64,162,
2711,工学,8,计算机科学与技术,812,A+,国防科技大学,90002,前2%,前2名,1档,77,75,238,计算机科学与技术
3297,工学,8,航空宇航科学与技术,825,B+,国防科技大学,90002,10%-20%,前2-5名,4档,12,12,25,航空宇航科学与技术
3519,工学,8,生物医学工程,831,C,国防科技大学,90002,50%-60%,前35-42名,8档,35,32,70,
3658,工学,8,软件工程,835,A+,国防科技大学,90002,前2%,前2名,1档,46,45,165,软件工程
4407,管理学,12,管理科学与工程,1201,A+,国防科技大学,90002,前2%,前2名,1档,90,85,187,管理科学与工程
2,哲学,1,哲学,101,A+,复旦大学,10246,前2%,前2名,1档,48,38,84,哲学
60,经济学,2,理论经济学,201,A+,复旦大学,10246,前2%,前2名,1档,39,38,90,
131,经济学,2,应用经济学,202,A-,复旦大学,10246,5%-10%,前7-15名,3档,66,58,155,
248,法学,3,法学,301,B+,复旦大学,10246,10%-20%,前14-28名,4档,40,38,144,
331,法学,3,政治学,302,A+,复旦大学,10246,前2%,前2名,1档,30,28,76,政治学
387,法学,3,社会学,303,A-,复旦大学,10246,5%-10%,前3-6名,3档,24,24,65,
455,法学,3,马克思主义理论,305,A,复旦大学,10246,2%-5%,前11名,2档,93,83,231,
773,文学,5,中国语言文学,501,A,复旦大学,10246,2%-5%,前7名,2档,65,64,148,中国语言文学
886,文学,5,外国语言文学,502,A-,复旦大学,10246,5%-10%,前7-14名,3档,41,38,163,
991,文学,5,新闻传播学,503,A,复旦大学,10246,2%-5%,前4名,2档,17,17,81,
1058,历史学,6,考古学,601,B-,复旦大学,10246,30%-40%,前10-14名,6档,21,21,36,
1071,历史学,6,中国史,602,A+,复旦大学,10246,前2%,前2名,1档,48,48,82,中国史
1134,历史学,6,世界史,603,B+,复旦大学,10246,10%-20%,前5-11名,4档,31,31,58,
1168,理学,7,数学,701,A+,复旦大学,10246,前2%,前2名,1档,76,69,182,数学
1299,理学,7,物理学,702,A,复旦大学,10246,2%-5%,前6名,2档,64,56,127,物理学
1390,理学,7,化学,703,A,复旦大学,10246,2%-5%,前7名,2档,69,66,150,化学
1596,理学,7,生物学,710,A-,复旦大学,10246,5%-10%,前8-16名,3档,91,75,161,生物学
1726,理学,7,生态学,713,A-,复旦大学,10246,5%-10%,前5-10名,3档,57,48,100,生态学
1810,理学,7,统计学,714,B+,复旦大学,10246,10%-20%,前12-24名,4档,54,51,120,
1909,工学,8,力学,801,C+,复旦大学,10246,40%-50%,前32-40名,7档,53,52,80,
2082,工学,8,光学工程,803,B,复旦大学,10246,20%-30%,前16-24名,5档,39,36,80,
2192,工学,8,材料科学与工程,805,B+,复旦大学,10246,10%-20%,前17-34名,4档,93,89,172,材料科学与工程
2430,工学,8,电子科学与技术,809,A-,复旦大学,10246,5%-10%,前5-10名,3档,52,49,106,
2570,工学,8,信息与通信工程,810,C,复旦大学,10246,50%-60%,前68-82名,8档,64,61,137,
2738,工学,8,计算机科学与技术,812,B+,复旦大学,10246,10%-20%,前23-47名,4档,77,75,238,
3383,工学,8,环境科学与工程,830,B+,复旦大学,10246,10%-20%,前15-31名,4档,60,57,155,环境科学与工程
3487,工学,8,生物医学工程,831,B+,复旦大学,10246,10%-20%,前7-14名,4档,35,32,70,
3678,工学,8,软件工程,835,B+,复旦大学,10246,10%-20%,前16-33名,4档,46,45,165,
4023,医学,10,基础医学,1001,A,复旦大学,10246,2%-5%,前3名,2档,43,38,78,基础医学
4078,医学,10,临床医学,1002,A,复旦大学,10246,2%-5%,前4名,2档,52,48,86,临床医学
4167,医学,10,公共卫生与预防医学,1004,A-,复旦大学,10246,5%-10%,前2-5名,3档,34,32,54,
4227,医学,10,中西医结合,1006,A-,复旦大学,10246,5%-10%,前2-5名,3档,32,32,54,中西医结合
4267,医学,10,药学,1007,A-,复旦大学,10246,5%-10%,前5-10名,3档,41,37,104,药学
4377,医学,10,护理学,1011,B,复旦大学,10246,20%-30%,前11-17名,5档,23,22,59,
4428,管理学,12,管理科学与工程,1201,B+,复旦大学,10246,10%-20%,前18-37名,4档,90,85,187,
4545,管理学,12,工商管理,1202,A,复旦大学,10246,2%-5%,前12名,2档,65,63,240,
4744,管理学,12,公共管理,1204,A-,复旦大学,10246,5%-10%,前7-14名,3档,43,27,143,
1925,工学,8,力学,801,C-,大连交通大学,10150,60%-70%,前48-56名,9档,53,52,80,
1971,工学,8,机械工程,802,B,大连交通大学,10150,20%-30%,前37-56名,5档,93,89,189,
2240,工学,8,材料科学与工程,805,C+,大连交通大学,10150,40%-50%,前68-86名,7档,93,89,172,
3273,工学,8,交通运输工程,823,C,大连交通大学,10150,50%-60%,前26-31名,8档,27,25,52,
3462,工学,8,环境科学与工程,830,C-,大连交通大学,10150,60%-70%,前93-108名,9档,60,57,155,
3741,工学,8,软件工程,835,C,大连交通大学,10150,50%-60%,前82-99名,8档,46,45,165,
1621,理学,7,生物学,710,B,大连医科大学,10161,20%-30%,前32-48名,5档,91,75,161,
4038,医学,10,基础医学,1001,B,大连医科大学,10161,20%-30%,前15-23名,5档,43,38,78,
4093,医学,10,临床医学,1002,B,大连医科大学,10161,20%-30%,前17-25名,5档,52,48,86,
4150,医学,10,口腔医学,1003,C+,大连医科大学,10161,40%-50%,前15-19名,7档,16,15,39,
4231,医学,10,中西医结合,1006,B+,大连医科大学,10161,10%-20%,前5-10名,4档,32,32,54,
4304,医学,10,药学,1007,C+,大连医科大学,10161,40%-50%,前41-52名,7档,41,37,104,
4395,医学,10,护理学,1011,C,大连医科大学,10161,50%-60%,前29-35名,8档,23,22,59,
910,文学,5,外国语言文学,502,B,大连外国语大学,10172,20%-30%,前29-44名,5档,41,38,163,
1488,理学,7,化学,703,C-,大连大学,11258,60%-70%,前90-105名,9档,69,66,150,
2848,工学,8,计算机科学与技术,812,C,大连大学,11258,50%-60%,前119-142名,8档,77,75,238,
3721,工学,8,软件工程,835,B-,大连大学,11258,30%-40%,前49-66名,6档,46,45,165,
2112,工学,8,光学工程,803,C-,大连工业大学,10152,60%-70%,前48-56名,9档,39,36,80,
2677,工学,8,控制科学与工程,811,C+,大连工业大学,10152,40%-50%,前64-81名,7档,67,64,162,
3152,工学,8,化学工程与技术,817,C-,大连工业大学,10152,60%-70%,前86-100名,9档,54,51,144,
3226,工学,8,纺织科学与工程,821,C,大连工业大学,10152,50%-60%,前8-10名,8档,7,7,17,
3233,工学,8,轻工技术与工程,822,B,大连工业大学,10152,20%-30%,前4-7名,5档,9,9,24,
3535,工学,8,食品科学与工程,832,B+,大连工业大学,10152,10%-20%,前7-15名,4档,27,26,79,
5086,艺术学,13,设计学,1305,C+,大连工业大学,10152,40%-50%,前37-47名,7档,16,16,94,
260,法学,3,法学,301,B,大连海事大学,10151,20%-30%,前28-43名,5档,40,38,144,
498,法学,3,马克思主义理论,305,B,大连海事大学,10151,20%-30%,前46-69名,5档,93,83,231,
962,文学,5,外国语言文学,502,C,大连海事大学,10151,50%-60%,前74-88名,8档,41,38,163,
2048,工学,8,机械工程,802,C-,大连海事大学,10151,60%-70%,前113-132名,9档,93,89,189,
2539,工学,8,信息与通信工程,810,B-,大连海事大学,10151,30%-40%,前41-54名,6档,64,61,137,
2644,工学,8,控制科学与工程,811,B-,大连海事大学,10151,30%-40%,前48-64名,6档,67,64,162,
2758,工学,8,计算机科学与技术,812,B,大连海事大学,10151,20%-30%,前47-71名,5档,77,75,238,
3250,工学,8,交通运输工程,823,B+,大连海事大学,10151,10%-20%,前5-10名,4档,27,25,52,交通运输工程（自定）
3285,工学,8,船舶与海洋工程,824,B,大连海事大学,10151,20%-30%,前3-5名,5档,13,12,18,
3401,工学,8,环境科学与工程,830,B,大连海事大学,10151,20%-30%,前31-46名,5档,60,57,155,
3742,工学,8,软件工程,835,C,大连海事大学,10151,50%-60%,前82-99名,8档,46,45,165,
4466,管理学,12,管理科学与工程,1201,B-,大连海事大学,10151,30%-40%,前56-74名,6档,90,85,187,
4638,管理学,12,工商管理,1202,C+,大连海事大学,10151,40%-50%,前96-120名,7档,65,63,240,
4822,管理学,12,公共管理,1204,C-,大连海事大学,10151,60%-70%,前85-100名,9档,43,27,143,
1558,理学,7,海洋科学,707,C,大连海洋大学,10158,50%-60%,前11-13名,8档,12,10,22,
3993,农学,9,水产,908,B,大连海洋大学,10158,20%-30%,前3-5名,5档,9,8,19,
27,哲学,1,哲学,101,B-,大连理工大学,10141,30%-40%,前25-33名,6档,48,38,84,
156,经济学,2,应用经济学,202,B,大连理工大学,10141,20%-30%,前31-46名,5档,66,58,155,
1186,理学,7,数学,701,B+,大连理工大学,10141,10%-20%,前18-36名,4档,76,69,182,
1322,理学,7,物理学,702,B,大连理工大学,10141,20%-30%,前25-38名,5档,64,56,127,
1417,理学,7,化学,703,B,大连理工大学,10141,20%-30%,前30-45名,5档,69,66,150,化学
1651,理学,7,生物学,710,C+,大连理工大学,10141,40%-50%,前64-80名,7档,91,75,161,
1881,工学,8,力学,801,A-,大连理工大学,10141,5%-10%,前4-8名,3档,53,52,80,
1937,工学,8,机械工程,802,A,大连理工大学,10141,2%-5%,前9名,2档,93,89,189,
2097,工学,8,光学工程,803,C+,大连理工大学,10141,40%-50%,前32-40名,7档,39,36,80,
2135,工学,8,仪器科学与技术,804,B,大连理工大学,10141,20%-30%,前14-21名,5档,32,29,73,
2189,工学,8,材料科学与工程,805,B+,大连理工大学,10141,10%-20%,前17-34名,4档,93,89,172,
2317,工学,8,动力工程及工程热物理,807,B+,大连理工大学,10141,10%-20%,前8-16名,4档,43,42,84,
2392,工学,8,电气工程,808,B-,大连理工大学,10141,30%-40%,前25-33名,6档,40,39,84,
2456,工学,8,电子科学与技术,809,B-,大连理工大学,10141,30%-40%,前31-42名,6档,52,49,106,
2513,工学,8,信息与通信工程,810,B+,大连理工大学,10141,10%-20%,前13-27名,4档,64,61,137,
2613,工学,8,控制科学与工程,811,B+,大连理工大学,10141,10%-20%,前16-32名,4档,67,64,162,
2736,工学,8,计算机科学与技术,812,B+,大连理工大学,10141,10%-20%,前23-47名,4档,77,75,238,
2887,工学,8,建筑学,813,B,大连理工大学,10141,20%-30%,前10-16名,5档,16,16,54,
2920,工学,8,土木工程,814,A-,大连理工大学,10141,5%-10%,前6-13名,3档,56,54,134,
3012,工学,8,水利工程,815,B+,大连理工大学,10141,10%-20%,前4-9名,4档,24,24,49,
3068,工学,8,化学工程与技术,817,A,大连理工大学,10141,2%-5%,前7名,2档,54,51,144,
3272,工学,8,交通运输工程,823,C,大连理工大学,10141,50%-60%,前26-31名,8档,27,25,52,
3288,工学,8,船舶与海洋工程,824,C+,大连理工大学,10141,40%-50%,前7-9名,7档,13,12,18,
3377,工学,8,环境科学与工程,830,A-,大连理工大学,10141,5%-10%,前7-15名,3档,60,57,155,
3500,工学,8,生物医学工程,831,B-,大连理工大学,10141,30%-40%,前21-28名,6档,35,32,70,
3592,工学,8,城乡规划学,833,B,大连理工大学,10141,20%-30%,前10-15名,5档,13,13,51,
3676,工学,8,软件工程,835,B+,大连理工大学,10141,10%-20%,前16-33名,4档,46,45,165,
3801,工学,8,安全科学与工程,837,C,大连理工大学,10141,50%-60%,前26-31名,8档,20,20,52,
4415,管理学,12,管理科学与工程,1201,A-,大连理工大学,10141,5%-10%,前9-18名,3档,90,85,187,
4552,管理学,12,工商管理,1202,A-,大连理工大学,10141,5%-10%,前12-24名,3档,65,63,240,
4765,管理学,12,公共管理,1204,B,大连理工大学,10141,20%-30%,前28-42名,5档,43,27,143,
4203,医学,10,中医学,1005,B+,天津中医药大学,10063,10%-20%,前3-7名,4档,20,20,37,
4230,医学,10,中西医结合,1006,B+,天津中医药大学,10063,10%-20%,前5-10名,4档,32,32,54,
4303,医学,10,药学,1007,C+,天津中医药大学,10063,40%-50%,前41-52名,7档,41,37,104,
4336,医学,10,中药学,1008,A-,天津中医药大学,10063,5%-10%,前2-4名,3档,24,22,43,中药学
4387,医学,10,护理学,1011,C+,天津中医药大学,10063,40%-50%,前23-29名,7档,23,22,59,
720,教育学,4,体育学,403,A-,天津体育学院,10071,5%-10%,前3-7名,3档,21,21,78,
